,Place,ProductId,ProductName,UmId,UmName,Month,Year,Price
0,National Average,52,Rice - Retail,5,KG,5,2013,4.492
1,National Average,52,Rice - Retail,5,KG,6,2013,4.5786
2,National Average,52,Rice - Retail,5,KG,11,2013,4.7865
3,National Average,52,Rice - Retail,5,KG,12,2013,5.1337
4,National Average,52,Rice - Retail,5,KG,1,2014,5.5099
5,National Average,52,Rice - Retail,5,KG,2,2014,5.8146
6,National Average,52,Rice - Retail,5,KG,3,2014,6.0014
7,National Average,52,Rice - Retail,5,KG,5,2014,6.3202
8,National Average,52,Rice - Retail,5,KG,6,2014,6.6019
9,National Average,52,Rice - Retail,5,KG,7,2014,6.6503
10,National Average,52,Rice - Retail,5,KG,8,2014,6.6806
11,National Average,52,Rice - Retail,5,KG,9,2014,6.6035
12,National Average,52,Rice - Retail,5,KG,10,2014,6.496
13,National Average,52,Rice - Retail,5,KG,11,2014,6.644
14,National Average,52,Rice - Retail,5,KG,12,2014,6.724
15,National Average,52,Rice - Retail,5,KG,1,2015,6.755
16,National Average,52,Rice - Retail,5,KG,2,2015,6.49
17,National Average,52,Rice - Retail,5,KG,3,2015,6.517
18,National Average,52,Rice - Retail,5,KG,4,2015,6.54
19,National Average,52,Rice - Retail,5,KG,5,2015,6.53
20,National Average,52,Rice - Retail,5,KG,6,2015,6.44
21,National Average,52,Rice - Retail,5,KG,7,2015,6.33
22,National Average,52,Rice - Retail,5,KG,8,2015,6.31
23,National Average,52,Rice - Retail,5,KG,9,2015,6.33
24,National Average,52,Rice - Retail,5,KG,10,2015,6.33
25,National Average,52,Rice - Retail,5,KG,11,2015,6.28
26,National Average,52,Rice - Retail,5,KG,12,2015,6.27
27,National Average,52,Rice - Retail,5,KG,1,2016,6.37
28,National Average,52,Rice - Retail,5,KG,2,2016,6.31
29,National Average,52,Rice - Retail,5,KG,3,2016,6.26
30,National Average,52,Rice - Retail,5,KG,4,2016,6.39
31,National Average,52,Rice - Retail,5,KG,5,2016,6.06
32,National Average,52,Rice - Retail,5,KG,6,2016,5.92
33,National Average,52,Rice - Retail,5,KG,7,2016,5.86
34,National Average,52,Rice - Retail,5,KG,8,2016,5.87
35,National Average,52,Rice - Retail,5,KG,9,2016,5.82
36,National Average,52,Rice - Retail,5,KG,10,2016,5.79
37,National Average,52,Rice - Retail,5,KG,11,2016,5.85
38,National Average,52,Rice - Retail,5,KG,12,2016,6.07
39,National Average,52,Rice - Retail,5,KG,1,2017,5.87
40,National Average,52,Rice - Retail,5,KG,2,2017,6.01
41,National Average,52,Rice - Retail,5,KG,3,2017,6.28
42,National Average,52,Rice - Retail,5,KG,1,2018,7.7321
43,National Average,52,Rice - Retail,5,KG,2,2018,7.7563
44,National Average,52,Rice - Retail,5,KG,3,2018,7.7952
45,National Average,52,Rice - Retail,5,KG,4,2018,7.8248
46,National Average,52,Rice - Retail,5,KG,5,2018,7.8543
47,National Average,52,Rice - Retail,5,KG,6,2018,8.0722
48,National Average,52,Rice - Retail,5,KG,7,2018,8.3216
49,National Average,52,Rice - Retail,5,KG,8,2018,8.4695
50,National Average,52,Rice - Retail,5,KG,9,2018,8.8124
51,National Average,52,Rice - Retail,5,KG,10,2018,9.1428
52,National Average,52,Rice - Retail,5,KG,11,2018,9.296
53,National Average,52,Rice - Retail,5,KG,12,2018,9.3896
